timestamp,source_ip,destination_ip,protocol,port,bytes_sent,bytes_received,duration,status
2023-05-17T10:00:01,192.168.1.10,10.0.0.5,TCP,80,1024,5120,0.5,SUCCESS
2023-05-17T10:01:15,192.168.1.15,10.0.0.5,TCP,443,2048,10240,0.8,SUCCESS
2023-05-17T10:02:30,192.168.1.100,10.0.0.5,TCP,22,512,1024,1.2,FAILURE
2023-05-17T10:03:45,192.168.1.100,10.0.0.5,TCP,22,512,1024,1.1,FAILURE
2023-05-17T10:04:10,192.168.1.100,10.0.0.5,TCP,22,512,1024,1.0,FAILURE
2023-05-17T10:05:30,192.168.1.100,10.0.0.5,TCP,23,512,1024,1.3,FAILURE
2023-05-17T10:06:15,192.168.1.100,10.0.0.5,TCP,3389,512,1024,1.2,FAILURE
2023-05-17T10:07:00,192.168.1.100,10.0.0.5,TCP,3306,512,1024,1.1,FAILURE
2023-05-17T10:08:22,192.168.1.15,10.0.0.5,TCP,443,2048,10240,0.7,SUCCESS
2023-05-17T10:09:40,192.168.1.10,10.0.0.5,TCP,80,1024,5120,0.5,SUCCESS
2023-05-17T10:10:51,192.168.1.25,10.0.0.5,TCP,80,1024,5120,0.6,SUCCESS
2023-05-17T10:12:05,192.168.1.25,10.0.0.5,TCP,80,1024,5120,0.5,SUCCESS
2023-05-17T10:15:10,192.168.1.200,10.0.0.5,TCP,1433,1024,512,2.5,FAILURE
2023-05-17T10:16:33,192.168.1.200,10.0.0.5,TCP,1433,1024,512,2.4,FAILURE
2023-05-17T10:17:55,192.168.1.200,10.0.0.5,TCP,1433,1024,512,2.6,FAILURE
2023-05-17T10:20:01,192.168.1.10,10.0.0.5,TCP,80,1024,5120,0.4,SUCCESS
2023-05-17T10:21:15,192.168.1.15,10.0.0.5,TCP,443,2048,10240,0.7,SUCCESS
2023-05-17T10:22:30,192.168.1.15,10.0.0.5,TCP,443,2048,10240,0.8,SUCCESS
2023-05-17T10:25:45,192.168.1.50,10.0.0.5,ICMP,-1,64,64,0.2,SUCCESS
2023-05-17T10:26:10,192.168.1.50,10.0.0.5,ICMP,-1,64,64,0.2,SUCCESS 
